wind_code,date,time,index,function_code,order_kind,bs_flag,trade_price,trade_volume,ask_order,bid_order
000629.SZ,20200327,91503450,105076,C,0,0,0,40000,0,12203
000629.SZ,20200327,91508240,134930,C,0,0,0,100,0,27796
000629.SZ,20200327,91531020,140431,C,0,0,0,90300,0,111558
000629.SZ,20200327,91550230,144133,C,0,0,0,63700,138777,0
000629.SZ,20200327,91615280,148041,C,0,0,0,10000,15130,0
000629.SZ,20200327,91618410,148718,C,0,0,0,15000,143443,0
000629.SZ,20200327,91625460,150061,C,0,0,0,43300,74372,0
000629.SZ,20200327,91627330,150415,C,0,0,0,50000,74371,0
000629.SZ,20200327,91629160,150735,C,0,0,0,50000,62678,0
000629.SZ,20200327,91658080,156638,C,0,0,0,18700,0,152301
000629.SZ,20200327,91708660,159004,C,0,0,0,29200,0,97877
000629.SZ,20200327,91721400,161853,C,0,0,0,15000,83894,0
000629.SZ,20200327,91729160,163623,C,0,0,0,3100,160608,0
000629.SZ,20200327,91745170,167618,C,0,0,0,30000,0,57449
000629.SZ,20200327,91754970,170038,C,0,0,0,20000,3735,0
000629.SZ,20200327,91800770,171442,C,0,0,0,20000,0,3846
000629.SZ,20200327,91802610,171909,C,0,0,0,18600,0,158188
000629.SZ,20200327,91824760,177424,C,0,0,0,23100,31067,0
000629.SZ,20200327,91906550,188390,C,0,0,0,5000,0,91445
000629.SZ,20200327,91906800,188460,C,0,0,0,5000,0,91443
000629.SZ,20200327,91907050,188528,C,0,0,0,5000,0,91442
000629.SZ,20200327,91907300,188595,C,0,0,0,5000,0,91441
000629.SZ,20200327,91945320,199150,C,0,0,0,40000,0,15364
000629.SZ,20200327,91948480,200035,C,0,0,0,2400,0,197581
000629.SZ,20200327,91956620,202557,C,0,0,0,5000,0,192547
000629.SZ,20200327,91957750,202927,C,0,0,0,700,0,201486
000629.SZ,20200327,92500000,323112,0,0,S,22600,100,145167,7576
000629.SZ,20200327,92500000,323113,0,0,S,22600,500,288623,203930
000629.SZ,20200327,92500000,323114,0,0,S,22600,300,288623,136981
000629.SZ,20200327,92500000,323115,0,0,S,22600,400,280149,136981
000629.SZ,20200327,92500000,323116,0,0,B,22600,500,26315,136981
000629.SZ,20200327,92500000,323117,0,0,B,22600,2700,39999,136981
000629.SZ,20200327,92500000,323118,0,0,B,22600,300,39999,202928
000629.SZ,20200327,92500000,323119,0,0,B,22600,3600,39999,297322
000629.SZ,20200327,92500000,323120,0,0,B,22600,6000,39999,241604
000629.SZ,20200327,92500000,323121,0,0,B,22600,10000,39999,245113
000629.SZ,20200327,92500000,323122,0,0,B,22600,3200,39999,285653
000629.SZ,20200327,92500000,323123,0,0,B,22600,32000,39999,302526
000629.SZ,20200327,92500000,323124,0,0,B,22600,18000,107222,302526
000629.SZ,20200327,92500000,323125,0,0,B,22600,3500,107222,306119
000629.SZ,20200327,92500000,323126,0,0,B,22600,16500,283635,306119
000629.SZ,20200327,92500000,323127,0,0,B,22600,20000,283635,306902
000629.SZ,20200327,92500000,323128,0,0,S,22600,13400,283635,27782
000629.SZ,20200327,92500000,323129,0,0,S,22600,100,283635,45167
000629.SZ,20200327,92500000,323130,0,0,S,22600,1900,295439,45167
000629.SZ,20200327,92500000,323131,0,0,S,22600,100,295439,157280
000629.SZ,20200327,92500000,323132,0,0,S,22600,100,295439,157461
000629.SZ,20200327,92500000,323133,0,0,S,22600,100,295439,157464
000629.SZ,20200327,92500000,323134,0,0,S,22600,100,295439,157465
000629.SZ,20200327,92500000,323135,0,0,S,22600,100,295439,157473
000629.SZ,20200327,92500000,323136,0,0,S,22600,100,295439,157488
000629.SZ,20200327,92500000,323137,0,0,S,22600,100,295439,157489
000629.SZ,20200327,92500000,323138,0,0,S,22600,100,295439,158502
000629.SZ,20200327,92500000,323139,0,0,S,22600,100,295439,158504
000629.SZ,20200327,92500000,323140,0,0,S,22600,29000,295439,160757
