wind_code,date,time,bs_flag,trade_price,trade_volume,ask_order,bid_order,,,,,,,time,trade_price,trade_volume,ask,bid
000629.SZ,20200327,92500000,S,22600,100,145167,7576,,0,0,0,0,0,92500000,22600,100,145167,7576
000629.SZ,20200327,92500000,S,22600,500,288623,203930,,0,0,0,0,0,92500000,22600,500,288623,203930
000629.SZ,20200327,92500000,S,22600,300,288623,136981,,0,0,0,0,0,92500000,22600,300,288623,136981
000629.SZ,20200327,92500000,S,22600,400,280149,136981,,0,0,0,0,0,92500000,22600,400,280149,136981
000629.SZ,20200327,92500000,B,22600,500,26315,136981,,0,0,0,0,0,92500000,22600,500,26315,136981
000629.SZ,20200327,92500000,B,22600,2700,39999,136981,,0,0,0,0,0,92500000,22600,2700,39999,136981
000629.SZ,20200327,92500000,B,22600,300,39999,202928,,0,0,0,0,0,92500000,22600,300,39999,202928
000629.SZ,20200327,92500000,B,22600,3600,39999,297322,,0,0,0,0,0,92500000,22600,3600,39999,297322
000629.SZ,20200327,92500000,B,22600,6000,39999,241604,,0,0,0,0,0,92500000,22600,6000,39999,241604
000629.SZ,20200327,92500000,B,22600,10000,39999,245113,,0,0,0,0,0,92500000,22600,10000,39999,245113
000629.SZ,20200327,92500000,B,22600,3200,39999,285653,,0,0,0,0,0,92500000,22600,3200,39999,285653
000629.SZ,20200327,92500000,B,22600,32000,39999,302526,,0,0,0,0,0,92500000,22600,32000,39999,302526
000629.SZ,20200327,92500000,B,22600,18000,107222,302526,,0,0,0,0,0,92500000,22600,18000,107222,302526
000629.SZ,20200327,92500000,B,22600,3500,107222,306119,,0,0,0,0,0,92500000,22600,3500,107222,306119
000629.SZ,20200327,92500000,B,22600,16500,283635,306119,,0,0,0,0,0,92500000,22600,16500,283635,306119
000629.SZ,20200327,92500000,B,22600,20000,283635,306902,,0,0,0,0,0,92500000,22600,20000,283635,306902
000629.SZ,20200327,92500000,S,22600,13400,283635,27782,,0,0,0,0,0,92500000,22600,13400,283635,27782
000629.SZ,20200327,92500000,S,22600,100,283635,45167,,0,0,0,0,0,92500000,22600,100,283635,45167
000629.SZ,20200327,92500000,S,22600,1900,295439,45167,,0,0,0,0,0,92500000,22600,1900,295439,45167
000629.SZ,20200327,92500000,S,22600,100,295439,157280,,0,0,0,0,0,92500000,22600,100,295439,157280
000629.SZ,20200327,92500000,S,22600,100,295439,157461,,0,0,0,0,0,92500000,22600,100,295439,157461
000629.SZ,20200327,92500000,S,22600,100,295439,157464,,0,0,0,0,0,92500000,22600,100,295439,157464
000629.SZ,20200327,92500000,S,22600,100,295439,157465,,0,0,0,0,0,92500000,22600,100,295439,157465
000629.SZ,20200327,92500000,S,22600,100,295439,157473,,0,0,0,0,0,92500000,22600,100,295439,157473
000629.SZ,20200327,92500000,S,22600,100,295439,157488,,0,0,0,0,0,92500000,22600,100,295439,157488
000629.SZ,20200327,92500000,S,22600,100,295439,157489,,0,0,0,0,0,92500000,22600,100,295439,157489
000629.SZ,20200327,92500000,S,22600,100,295439,158502,,0,0,0,0,0,92500000,22600,100,295439,158502
000629.SZ,20200327,92500000,S,22600,100,295439,158504,,0,0,0,0,0,92500000,22600,100,295439,158504
000629.SZ,20200327,92500000,S,22600,29000,295439,160757,,0,0,0,0,0,92500000,22600,29000,295439,160757
000629.SZ,20200327,92500000,S,22600,100,295439,171357,,0,0,0,0,0,92500000,22600,100,295439,171357
000629.SZ,20200327,92500000,S,22600,100,295439,171358,,0,0,0,0,0,92500000,22600,100,295439,171358
000629.SZ,20200327,92500000,S,22600,100,295439,171359,,0,0,0,0,0,92500000,22600,100,295439,171359
000629.SZ,20200327,92500000,S,22600,100,295439,171360,,0,0,0,0,0,92500000,22600,100,295439,171360
000629.SZ,20200327,92500000,S,22600,100,295439,171362,,0,0,0,0,0,92500000,22600,100,295439,171362
000629.SZ,20200327,92500000,S,22600,100,295439,171363,,0,0,0,0,0,92500000,22600,100,295439,171363
000629.SZ,20200327,92500000,S,22600,100,295439,171370,,0,0,0,0,0,92500000,22600,100,295439,171370
000629.SZ,20200327,92500000,S,22600,100,295439,171374,,0,0,0,0,0,92500000,22600,100,295439,171374
000629.SZ,20200327,92500000,S,22600,100,295439,172254,,0,0,0,0,0,92500000,22600,100,295439,172254
000629.SZ,20200327,92500000,S,22600,8000,295439,182894,,0,0,0,0,0,92500000,22600,8000,295439,182894
000629.SZ,20200327,92500000,S,22600,9300,295439,183711,,0,0,0,0,0,92500000,22600,9300,295439,183711
000629.SZ,20200327,92500000,S,22600,5700,300975,183711,,0,0,0,0,0,92500000,22600,5700,300975,183711
000629.SZ,20200327,92500000,S,22600,500,300975,185578,,0,0,0,0,0,92500000,22600,500,300975,185578
000629.SZ,20200327,92500000,S,22600,800,300975,186473,,0,0,0,0,0,92500000,22600,800,300975,186473
000629.SZ,20200327,92500000,S,22600,100,300975,187099,,0,0,0,0,0,92500000,22600,100,300975,187099
000629.SZ,20200327,92500000,S,22600,100,300975,187100,,0,0,0,0,0,92500000,22600,100,300975,187100
000629.SZ,20200327,92500000,S,22600,100,300975,187101,,0,0,0,0,0,92500000,22600,100,300975,187101
000629.SZ,20200327,92500000,S,22600,100,300975,187102,,0,0,0,0,0,92500000,22600,100,300975,187102
000629.SZ,20200327,92500000,S,22600,100,300975,187115,,0,0,0,0,0,92500000,22600,100,300975,187115
000629.SZ,20200327,92500000,S,22600,100,300975,187116,,0,0,0,0,0,92500000,22600,100,300975,187116
000629.SZ,20200327,92500000,S,22600,100,300975,187573,,0,0,0,0,0,92500000,22600,100,300975,187573
000629.SZ,20200327,92500000,S,22600,100,300975,187574,,0,0,0,0,0,92500000,22600,100,300975,187574
000629.SZ,20200327,92500000,S,22600,100,300975,188501,,0,0,0,0,0,92500000,22600,100,300975,188501
000629.SZ,20200327,92500000,S,22600,2000,300975,189289,,0,0,0,0,0,92500000,22600,2000,300975,189289
000629.SZ,20200327,92500000,S,22600,6100,300975,192131,,0,0,0,0,0,92500000,22600,6100,300975,192131
000629.SZ,20200327,92500000,S,22600,100,300975,197722,,0,0,0,0,0,92500000,22600,100,300975,197722
000629.SZ,20200327,92500000,S,22600,1000,300975,198932,,0,0,0,0,0,92500000,22600,1000,300975,198932
000629.SZ,20200327,92500000,S,22600,100,300975,203732,,0,0,0,0,0,92500000,22600,100,300975,203732
000629.SZ,20200327,92500000,S,22600,100,300975,203733,,0,0,0,0,0,92500000,22600,100,300975,203733
000629.SZ,20200327,92500000,S,22600,100,300975,203734,,0,0,0,0,0,92500000,22600,100,300975,203734
000629.SZ,20200327,92500000,S,22600,100,300975,203735,,0,0,0,0,0,92500000,22600,100,300975,203735
000629.SZ,20200327,92500000,S,22600,100,300975,203737,,0,0,0,0,0,92500000,22600,100,300975,203737
000629.SZ,20200327,92500000,S,22600,100,300975,203738,,0,0,0,0,0,92500000,22600,100,300975,203738
000629.SZ,20200327,92500000,S,22600,100,300975,203748,,0,0,0,0,0,92500000,22600,100,300975,203748
000629.SZ,20200327,92500000,S,22600,100,300975,203750,,0,0,0,0,0,92500000,22600,100,300975,203750
000629.SZ,20200327,92500000,S,22600,100,300975,203886,,0,0,0,0,0,92500000,22600,100,300975,203886
000629.SZ,20200327,92500000,S,22600,100,300975,204568,,0,0,0,0,0,92500000,22600,100,300975,204568
000629.SZ,20200327,92500000,S,22600,10000,300975,207612,,0,0,0,0,0,92500000,22600,10000,300975,207612
000629.SZ,20200327,92500000,S,22600,1900,300975,209555,,0,0,0,0,0,92500000,22600,1900,300975,209555
000629.SZ,20200327,92500000,B,22600,600,18955,209555,,0,0,0,0,0,92500000,22600,600,18955,209555
000629.SZ,20200327,92500000,B,22600,2000,168787,209555,,0,0,0,0,0,92500000,22600,2000,168787,209555
000629.SZ,20200327,92500000,B,22600,500,169365,210575,,0,0,0,0,0,92500000,22600,500,169365,210575
000629.SZ,20200327,92500000,B,22600,500,191618,210575,,0,0,0,0,0,92500000,22600,500,191618,210575
000629.SZ,20200327,92500000,B,22600,10000,191618,212554,,0,0,0,0,0,92500000,22600,10000,191618,212554
