,time,order,order_price,order_volume
36,91500180,7576,23700,100
632,92001070,203930,23600,500
466,91509480,136981,23500,3900
620,91957750,202928,23500,300
841,92430480,297322,23500,3600
739,92216300,241604,22800,6000
743,92227280,245113,22700,10000
827,92411710,285653,22700,3200
845,92438110,302526,22700,50000
847,92443260,306119,22700,20000
848,92444440,306902,22700,20000
119,91500580,27782,22600,13400
203,91501050,45167,22600,2000
507,91700920,157280,22600,100
509,91701680,157461,22600,100
510,91701690,157464,22600,100
511,91701690,157465,22600,100
512,91701720,157473,22600,100
513,91701770,157488,22600,100
514,91701770,157489,22600,100
517,91706450,158502,22600,100
518,91706450,158504,22600,100
520,91716650,160757,22600,29000
539,91800450,171357,22600,100
540,91800450,171358,22600,100
541,91800460,171359,22600,100
542,91800460,171360,22600,100
543,91800460,171362,22600,100
544,91800460,171363,22600,100
545,91800490,171370,22600,100
546,91800500,171374,22600,100
550,91803940,172254,22600,100
569,91845750,182894,22600,8000
572,91849070,183711,22600,15000
576,91856070,185578,22600,500
578,91859390,186473,22600,800
580,91901690,187099,22600,100
581,91901700,187100,22600,100
582,91901700,187101,22600,100
583,91901700,187102,22600,100
584,91901750,187115,22600,100
585,91901750,187116,22600,100
586,91903470,187573,22600,100
587,91903480,187574,22600,100
589,91906960,188501,22600,100
593,91909670,189289,22600,2000
598,91919830,192131,22600,6100
610,91939940,197722,22600,100
612,91944550,198932,22600,1000
623,92000450,203732,22600,100
624,92000450,203733,22600,100
625,92000450,203734,22600,100
626,92000450,203735,22600,100
627,92000460,203737,22600,100
628,92000460,203738,22600,100
629,92000490,203748,22600,100
630,92000490,203750,22600,100
631,92000970,203886,22600,100
634,92003640,204568,22600,100
639,92015420,207612,22600,10000
643,92022470,209555,22600,4500
646,92026670,210575,22600,1000
652,92034050,212554,22600,10000
664,92057680,218749,22600,4400
669,92103470,220275,22600,100
670,92103480,220276,22600,100
671,92103490,220280,22600,100
672,92103490,220281,22600,100
673,92103490,220282,22600,100
674,92103490,220283,22600,100
675,92103520,220290,22600,100
676,92103520,220292,22600,100
679,92106610,221134,22600,100
680,92106940,221248,22600,100
689,92126560,226761,22600,100
692,92127610,227056,22600,110600
703,92143230,231595,22600,20000
708,92149070,233303,22600,10000
717,92200640,236698,22600,100
720,92200970,236791,22600,100
723,92201710,237015,22600,100
724,92201730,237020,22600,100
725,92201730,237021,22600,100
726,92201800,237046,22600,100
727,92202150,237147,22600,100
728,92202150,237148,22600,100
731,92206450,238500,22600,100
732,92206450,238501,22600,100
736,92213890,240852,22600,110500
749,92235290,247732,22600,10000
763,92301710,256676,22600,100
764,92301710,256678,22600,100
765,92301710,256679,22600,100
766,92301730,256683,22600,100
767,92301910,256732,22600,100
768,92301910,256733,22600,100
771,92303660,257361,22600,100
772,92303960,257467,22600,100
775,92309450,259441,22600,100
776,92309450,259445,22600,100
778,92314760,261401,22600,2000
796,92336540,269874,22600,5000
804,92355590,277743,22600,48000
811,92401720,280449,22600,100
812,92401720,280450,22600,100
813,92401720,280451,22600,100
814,92401720,280452,22600,100
815,92401860,280515,22600,100
816,92401860,280516,22600,100
820,92403470,281254,22600,100
821,92403480,281256,22600,100
822,92405850,282440,22600,10000
823,92406630,282828,22600,100
824,92406930,283014,22600,100
831,92419400,290255,22600,7100
836,92421380,291536,22600,5500
852,92448910,309950,22600,14500
859,92455700,314929,22600,10000
860,92455780,314983,22600,21000
46,91500270,12202,22500,40000
65,91500380,17936,22500,24800
66,91500380,17945,22500,13400
279,91501980,73764,22500,4900
328,91502390,84597,22500,15500
412,91504150,114154,22500,300
413,91504170,114378,22500,3000
450,91505830,128056,22500,4600
485,91603460,146053,22500,100
486,91603470,146055,22500,100
487,91603490,146056,22500,100
488,91603490,146057,22500,100
489,91603490,146058,22500,100
490,91603490,146059,22500,100
491,91603520,146065,22500,100
492,91603520,146066,22500,100
493,91606940,146544,22500,100
497,91619050,148926,22500,11400
525,91722580,162123,22500,2000
568,91842350,181987,22500,3000
575,91854530,185170,22500,4500
577,91858640,186264,22500,5000
613,91945630,199247,22500,2300
633,92002660,204323,22500,10000
649,92031480,211830,22500,1000
660,92051780,217204,22500,10000
694,92131480,228207,22500,10000
710,92150810,233821,22500,9000
742,92224880,244353,22500,11400
779,92316390,261967,22500,5000
115,91500530,25721,22400,30000
301,91502150,77506,22400,2200
384,91503520,105989,22400,8900
533,91739140,166143,22400,2000
534,91740200,166389,22400,5000
551,91806570,172898,22400,40000
560,91826290,177785,22400,8600
601,91922920,192986,22400,52000
651,92033670,212448,22400,40000
656,92047180,215979,22400,2500
682,92113610,223137,22400,1100
734,92211020,239925,22400,66900
840,92428090,295706,22400,4800
20,91500080,3412,22300,15000
49,91500290,13215,22300,20000
71,91500400,18681,22300,10000
73,91500400,18689,22300,4000
95,91500480,23083,22300,2800
111,91500500,24211,22300,8500
130,91500580,28005,22300,10000
249,91501650,65315,22300,10000
263,91501740,67901,22300,300
312,91502260,80325,22300,7000
369,91503110,98776,22300,100
381,91503450,105213,22300,17100
385,91503540,106232,22300,15100
411,91504130,113907,22300,3000
423,91504560,118864,22300,8200
427,91504620,119421,22300,20000
472,91517660,139047,22300,30000
718,92200690,236710,22300,14500
741,92223860,243989,22300,600
786,92325570,265485,22300,2000
8,91500040,1490,22200,10000
11,91500060,2716,22200,20000
75,91500400,18701,22200,10000
129,91500580,28004,22200,10000
176,91500790,37370,22200,1000
198,91500950,42234,22200,7700
218,91501290,53237,22200,300
230,91501460,59338,22200,4000
240,91501560,62574,22200,2000
250,91501650,65316,22200,10000
254,91501670,65898,22200,60000
255,91501700,66738,22200,10000
331,91502470,86355,22200,1000
371,91503140,99343,22200,3000
504,91641640,153306,22200,400
636,92004780,204871,22200,46600
683,92113950,223216,22200,2000
819,92403130,281075,22200,1300
835,92421180,291407,22200,1000
842,92432580,298766,22200,39000
68,91500380,18102,22100,30000
72,91500400,18687,22100,4000
131,91500580,28032,22100,20000
201,91500990,43313,22100,500
210,91501090,46411,22100,9600
244,91501570,62776,22100,10000
251,91501650,65317,22100,10000
267,91501820,69839,22100,1500
426,91504580,119139,22100,1500
429,91504650,119723,22100,10000
476,91538700,141480,22100,15000
532,91737220,165658,22100,1200
561,91828540,178332,22100,15000
605,91931090,195215,22100,5000
781,92317070,262241,22100,22700
803,92352130,276306,22100,4100
67,91500380,18101,22000,30000
94,91500470,22409,22000,1100
107,91500500,23792,22000,500
112,91500510,24606,22000,3600
132,91500580,28033,22000,50000
141,91500590,28472,22000,1000
143,91500590,28585,22000,1000
158,91500640,31831,22000,5700
177,91500790,37371,22000,1000
190,91500790,37558,22000,5000
195,91500890,40611,22000,20000
196,91500900,40650,22000,10000
221,91501310,54177,22000,2000
314,91502270,80573,22000,1000
317,91502310,81947,22000,400
329,91502470,86307,22000,20000
332,91502470,86387,22000,1000
334,91502500,86950,22000,2000
394,91503730,109026,22000,500
402,91503920,111463,22000,2000
432,91504660,119969,22000,6800
445,91505230,125017,22000,400
467,91509950,137197,22000,5000
478,91541650,141930,22000,100
562,91833280,179551,22000,100
591,91908540,189004,22000,2000
687,92124510,226206,22000,1000
704,92145210,232150,22000,3000
712,92150950,233859,22000,10000
753,92240530,249454,22000,1800
74,91500400,18690,21900,5000
133,91500580,28037,21900,80000
191,91500800,37855,21900,3000
288,91502050,75187,21900,3000
310,91502220,79539,21900,1000
393,91503730,109019,21900,500
700,92138720,230268,21900,3500
1,91500030,296,21800,1300
37,91500190,7758,21800,1000
93,91500460,22247,21800,2600
134,91500580,28038,21800,109600
282,91502010,74368,21800,2000
287,91502040,74930,21800,500
309,91502220,79537,21800,1000
325,91502390,84583,21800,1000
340,91502620,89111,21800,14700
396,91503800,109656,21800,3300
399,91503880,110724,21800,900
433,91504720,120358,21800,15000
711,92150940,233856,21800,2000
45,91500260,11807,21700,3500
142,91500590,28496,21700,1000
296,91502130,76992,21700,1500
479,91541650,141931,21700,100
101,91500500,23706,21600,1600
192,91500800,37866,21600,4000
247,91501620,64650,21600,500
256,91501700,66878,21600,400
603,91925870,193785,21600,3000
15,91500070,3225,21500,500
27,91500100,4276,21500,1000
44,91500250,11469,21500,600
108,91500500,23793,21500,500
128,91500580,28003,21500,10000
159,91500640,31834,21500,6200
193,91500810,38105,21500,20000
308,91502220,79535,21500,3000
424,91504560,118927,21500,800
468,91510310,137511,21500,1000
737,92214540,241052,21500,3000
31,91500160,6267,21400,1000
156,91500640,31657,21400,1000
229,91501450,58894,21400,100
260,91501740,67822,21400,1500
307,91502220,79534,21400,3000
360,91503010,96636,21400,1000
480,91541650,141932,21400,100
659,92050370,216844,21400,6300
52,91500320,14793,21300,30000
154,91500630,31338,21300,300
293,91502100,76360,21300,100
306,91502220,79532,21300,3000
2,91500030,297,21200,1300
127,91500580,28002,21200,10000
170,91500710,35013,21200,1000
189,91500790,37493,21200,30000
231,91501470,59772,21200,1700
277,91501960,73297,21200,1000
305,91502220,79531,21200,3000
350,91502890,94548,21200,1000
501,91624300,149858,21200,100
536,91746810,168043,21200,1200
326,91502390,84585,21100,2000
336,91502510,87014,21100,5000
408,91504000,112494,21100,2000
481,91541650,141933,21100,100
16,91500070,3226,21000,500
60,91500360,16578,21000,1800
106,91500500,23791,21000,500
116,91500540,25808,21000,5700
236,91501520,61308,21000,1000
403,91503920,111485,21000,5000
420,91504380,117229,21000,1000
34,91500170,6802,20900,5000
126,91500580,28001,20900,10000
327,91502390,84586,20900,3000
153,91500630,31337,20800,300
375,91503220,100659,20800,100
482,91541660,141934,20800,100
376,91503330,102672,20700,200
125,91500580,28000,20600,10000
166,91500680,33589,20600,10000
167,91500680,33592,20600,20000
400,91503880,110743,20600,1500
105,91500500,23789,20500,500
199,91500980,43005,20500,1000
338,91502550,87860,20500,1000
374,91503190,100165,20500,8000
404,91503920,111488,20500,3000
418,91504370,117110,20400,2000
14,91500070,3224,20300,500
28,91500110,4624,20300,3700
35,91500180,7300,20300,2000
69,91500390,18640,20300,5000
124,91500580,27990,20300,10000
152,91500630,31334,20300,300
212,91501160,48946,20300,100
214,91501240,51650,20300,400
264,91501760,68354,20300,1000
313,91502260,80331,20300,10000
436,91504740,120494,20300,12000
469,91512100,138075,20300,500
565,91837560,180717,20300,200
615,91946440,199471,20300,100
684,92114800,223493,20300,3000
693,92130460,227900,20300,500
808,92358150,278882,20300,100
