,time,order,order_kind,function_code,order_price,order_volume
862,93000020,367599,0,B,22600,20000
863,93000020,368059,0,S,24800,1000
864,93000030,368757,0,S,23500,20000
865,93000100,376080,0,B,22100,4800
866,93000130,378343,0,S,22700,10000
867,93000130,378667,0,S,23300,5000
868,93000160,381889,0,B,22000,10000
869,93000170,382695,0,B,22700,19000
870,93000170,382872,0,B,22700,10000
871,93000170,382968,0,B,22100,7200
872,93000200,385526,0,B,22700,1000
873,93000200,385663,0,S,22900,90000
874,93000200,385890,0,B,22700,5000
875,93000220,388242,0,S,24800,10000
876,93000220,388390,0,S,24800,29200
877,93000220,388477,0,S,23500,10000
878,93000220,388560,0,S,23200,4500
879,93000230,389267,0,S,23300,36500
880,93000240,390008,0,S,22700,10000
881,93000250,391493,0,S,23200,10000
882,93000250,391601,0,S,22900,31900
883,93000250,391766,0,B,22600,10000
884,93000260,392447,0,B,22700,15000
885,93000270,393615,0,B,22800,5000
886,93000280,394702,0,B,22200,3000
887,93000280,394813,0,S,24800,2500
888,93000280,394941,0,S,23000,5000
889,93000300,396390,0,S,23100,3100
890,93000330,398761,0,B,22600,10000
891,93000340,400151,0,B,20400,2200
892,93000360,401525,0,S,22900,4700
893,93000410,405504,0,S,24800,300
894,93000440,407821,0,S,23200,600
895,93000470,409361,0,S,23000,7300
896,93000500,411453,0,S,23100,1000
897,93000510,412163,0,S,23100,35300
898,93000590,417371,0,S,23200,10000
899,93000600,418407,0,B,22300,1500
900,93000630,420242,0,S,24000,10000
901,93000650,421248,0,S,22800,3100
902,93000670,422687,0,B,22600,200
903,93000670,423034,0,B,22800,5000
904,93000690,424079,0,S,23400,1000
905,93000720,425747,0,B,22000,100
906,93000720,425930,0,S,23000,2300
907,93000730,426334,0,S,22700,32000
908,93000730,426644,0,S,24800,3100
909,93000740,427128,0,S,22900,13000
910,93000750,427340,0,S,23100,3000
911,93000800,430991,0,S,23500,17600
912,93000870,433933,0,B,22700,200
913,93000890,435295,0,S,24800,38200
914,93000920,436514,0,S,23300,300
915,93000930,437221,0,B,22100,7200
916,93000970,439874,0,S,23600,4800
917,93000980,440112,0,B,22200,38000
918,93000990,440467,0,S,22700,46000
919,93001000,441170,0,S,23000,30000
920,93001010,441429,0,B,22600,1500
921,93001010,441839,0,B,22600,100
922,93001040,443199,0,S,22200,800
923,93001060,444400,0,B,22700,22100
924,93001080,445181,0,S,22700,400
925,93001100,446186,0,B,22300,200
926,93001100,446348,0,B,22300,1100
927,93001100,446349,0,S,23000,100000
928,93001140,448562,0,S,24800,10000
929,93001170,449924,0,S,23000,3000
930,93001190,450772,0,S,23500,60000
931,93001220,452001,0,S,22700,1300
932,93001230,452547,0,S,22700,2100
933,93001270,453795,0,B,22500,12100
934,93001280,454230,0,B,22500,11600
935,93001300,455263,0,S,22900,10200
936,93001370,458726,0,S,22500,1000
937,93001380,458958,0,B,22000,1000
938,93001430,461766,0,S,22900,1300
939,93001470,464175,0,S,23200,100
940,93001520,467596,0,S,22900,17800
941,93001530,468262,0,S,22900,5000
942,93001560,469256,0,B,22700,10000
943,93001570,469556,0,S,23500,3000
944,93001570,469575,0,S,24000,3000
945,93001570,469788,0,S,22900,8500
946,93001580,470001,0,B,22500,300
947,93001580,470157,0,B,22000,2300
948,93001580,470324,0,B,22700,700
949,93001580,470395,0,S,22700,300
950,93001590,470562,0,S,24800,500
951,93001600,470974,0,S,23300,2000
952,93001600,471021,0,S,23800,2000
953,93001600,471191,0,B,22600,26000
954,93001610,471483,0,S,23500,2000
955,93001620,472039,0,S,22800,15000
956,93001640,472815,0,S,24800,5000
957,93001650,473644,0,S,23200,200000
958,93001670,474545,0,S,22500,10000
959,93001690,475357,0,B,22300,12000
960,93001730,477311,0,S,23500,77500
961,93001740,477703,0,S,23100,20000
962,93001740,477780,0,S,24300,2000
963,93001750,478293,0,S,22900,57400
964,93001770,478921,0,S,22800,1000
965,93001770,479046,0,S,23200,192900
966,93001780,479782,0,S,24800,2000
967,93001800,480688,0,S,24800,1000
968,93001800,480924,0,S,23100,5700
969,93001840,482491,0,B,22600,5000
970,93001870,483731,0,B,22700,83600
971,93001890,484616,0,S,23500,20000
972,93001910,485464,0,S,23200,1900
973,93001920,485671,0,S,24800,5000
974,93001930,486373,0,S,23800,5000
975,93001940,487028,0,B,22100,10000
976,93001940,487116,0,B,22300,5000
977,93001960,487888,0,B,22200,10000
978,93002040,492121,0,S,23600,1000
979,93002060,493113,0,B,22400,100
980,93002230,499028,0,S,23200,15000
981,93002250,499650,0,S,23000,59500
982,93002250,499936,0,S,22700,7500
983,93002270,500602,0,B,22500,2500
984,93002290,501316,0,S,23600,1000
985,93002310,501978,0,S,22900,4300
986,93002340,503986,0,S,23100,16000
987,93002350,504106,0,S,24700,1200
988,93002390,506075,0,S,22600,4000
989,93002400,506582,0,B,22500,10000
990,93002420,507831,0,B,22700,5000
991,93002440,508682,0,S,23200,1300
992,93002440,509093,0,B,22400,5000
993,93002460,509848,0,S,24800,74600
994,93002470,510063,0,B,22200,2000
995,93002490,511007,0,S,24800,500
996,93002520,512350,0,S,22700,300
997,93002550,513377,0,S,22900,2500
998,93002580,514758,0,B,22700,2000
999,93002610,515793,0,S,23000,7300
1000,93002610,516011,0,B,22700,2000
1001,93002620,516360,0,S,22600,20000
1002,93002670,518676,0,S,23600,1400
1003,93002730,521283,0,S,24500,500
1004,93002740,521944,0,B,21300,4500
1005,93002770,522619,0,S,23200,4300
1006,93002770,522907,0,S,23700,3500
1007,93002810,524877,0,S,23300,2000
1008,93002820,524997,0,B,22600,10000
1009,93002840,525918,0,S,24700,3000
1010,93002860,526578,0,B,22700,2000
1011,93002970,530497,0,B,22300,10000
1012,93002990,531225,0,S,22800,4600
1013,93003000,531666,0,S,24800,6000
1014,93003020,532293,0,B,22300,3000
1015,93003060,533959,0,S,23500,4400
1016,93003060,534127,0,B,21900,7100
1017,93003070,534570,0,S,23100,20000
1018,93003090,535384,0,B,22400,8900
1019,93003110,536111,0,S,23900,5900
1020,93003120,536648,0,B,22500,2200
1021,93003140,537221,0,B,22000,2000
1022,93003160,537803,0,B,22000,800
1023,93003170,538201,0,S,22600,9900
1024,93003260,541022,0,B,22600,2000
1025,93003300,542422,0,B,22700,1500
1026,93003360,543885,0,S,23900,13000
1027,93003380,544557,0,S,22700,15000
1028,93003390,545178,0,B,22100,20000
1029,93003420,546219,0,B,22500,100000
1030,93003490,548999,0,B,22400,400
1031,93003510,549934,0,S,23000,90200
1032,93003540,551016,0,S,23000,1000
1033,93003580,552201,0,B,22300,1000
1034,93003620,553272,0,S,22700,14700
1035,93003660,554543,0,B,22600,1000
1036,93003680,555055,0,S,22800,1600
1037,93003700,555597,0,B,22600,6200
1038,93003700,555784,0,S,23100,3800
1039,93003700,555833,0,S,23500,1000
1040,93003740,556828,0,S,23100,9000
1041,93003740,556924,0,S,24800,4800
1042,93003760,557800,0,B,22500,20000
1043,93003770,557915,0,B,21900,1000
1044,93003830,560011,0,B,22400,2200
1045,93003850,560803,0,B,22600,22900
1046,93003880,561756,0,B,20300,33200
1047,93003880,561883,0,S,23600,5000
1048,93003920,563528,0,S,22900,30000
1049,93003930,563780,0,S,24800,3000
1050,93004040,567317,0,B,22200,3400
1051,93004060,567899,0,B,20400,20500
1052,93004060,568159,0,S,23500,100
1053,93004060,568276,0,S,23500,20000
1054,93004100,570006,0,S,23500,20000
1055,93004100,570023,0,S,23200,6000
1056,93004100,570059,0,S,24400,10000
1057,93004120,570477,0,S,22800,21500
1058,93004180,572361,0,B,22300,4000
1059,93004310,576387,0,S,22700,6100
1060,93004390,578296,0,B,22500,1000
1061,93004460,581050,0,S,23100,5000
1062,93004490,582198,0,S,22600,100
1063,93004500,582470,1,S,0,100
1064,93004520,583250,0,B,22500,10000
1065,93004580,584789,0,S,24800,7000
1066,93004600,585424,0,B,22100,100
1067,93004620,585923,0,B,22600,2600
1068,93004690,587760,0,B,22100,12900
1069,93004910,593452,0,S,23000,500
1070,93004920,593788,0,S,23000,1900
1071,93004950,594679,0,B,22400,300
1072,93005070,597808,0,B,22700,5000
1073,93005080,597864,0,B,22500,700
1074,93005090,598254,0,B,20500,10200
1075,93005100,598711,0,S,24200,30000
1076,93005130,599427,0,B,22500,3700
1077,93005160,600396,0,S,24500,3000
