累计买入,买入数量,价格,卖出数量,累计卖出,min,,,,,,
0,0,24800,1000100,6177600,0,,,,,,
0,0,24700,467300,5177500,0,,,,,,
0,0,24600,119400,4710200,0,,,,,,
0,0,24500,75400,4590800,0,,,,,,
0,0,24400,15700,4515400,0,,,,,,
0,0,24300,43700,4499700,0,,,,,,
0,0,24200,65000,4456000,0,,,,,,
0,0,24100,364300,4391000,0,,,,,,
0,0,24000,55000,4026700,0,,,,,,
0,0,23900,166800,3971700,0,,,,,,
0,0,23800,125300,3804900,0,,,,,23700,100
100,100,23700,62300,3679600,100,,,,,23600,600
600,500,23600,78600,3617300,600,,,,,23500,8400
8400,7800,23500,242200,3538700,8400,,,,,22800,14400
8400,0,23400,419100,3296500,8400,,,,,22700,117600
8400,0,23300,206400,2877400,8400,,,,,22600,265000
8400,0,23200,485500,2671000,8400,,,,,22500,211100
8400,0,23100,170500,2185500,8400,,,,,22400,59600
8400,0,23000,520000,2015000,8400,,,,,21700,1300
8400,0,22900,325200,1495000,8400,,,,,20300,900
14400,6000,22800,588000,1169800,14400,,,,,,
117600,103200,22700,316800,581800,117600,,,,,,
617400,499800,22600,53900,265000,265000,,,,,,
809400,192000,22500,151500,211100,211100,,,,,,
1073400,264000,22400,58300,59600,59600,,,,,,
1271600,198200,22300,0,1300,1300,,,,,,
1510900,239300,22200,0,1300,1300,,,,,,
1671000,160100,22100,0,1300,1300,,,,,,
1859000,188000,22000,0,1300,1300,,,,,,
1955000,96000,21900,0,1300,1300,,,,,,
2109900,154900,21800,0,1300,1300,,,,,,
2116000,6100,21700,400,1300,1300,,,,,,
2125500,9500,21600,0,900,900,,,,,,
2172100,46600,21500,0,900,900,,,,,,
2186100,14000,21400,0,900,900,,,,,,
2219500,33400,21300,0,900,900,,,,,,
2269800,50300,21200,0,900,900,,,,,,
2278900,9100,21100,0,900,900,,,,,,
2294400,15500,21000,0,900,900,,,,,,
2312400,18000,20900,0,900,900,,,,,,
2312900,500,20800,0,900,900,,,,,,
2313100,200,20700,0,900,900,,,,,,
2354600,41500,20600,0,900,900,,,,,,
2368100,13500,20500,0,900,900,,,,,,
2370100,2000,20400,0,900,900,,,,,,
2419500,49400,20300,900,900,900,,,,,,
