time,trade_price,volume
92500000,22600,265000
93000170,22700,3200
93000170,22700,4200
93000170,22700,19000
93000170,22700,2600
93000170,22700,7600
93000170,22700,10000
93000200,22700,1000
93000200,22700,5000
93000260,22700,15000
93000270,22700,5000
93000670,22700,1600
93000670,22700,4500
93000670,22700,5000
93000870,22700,200
93001040,22600,800
93001060,22700,9300
93001060,22700,10700
93001060,22700,22100
93001370,22600,1000
93001560,22700,10000
93001580,22700,700
93001670,22600,10000
93001870,22700,27900
93001870,22700,52100
93001870,22700,57100
93001870,22700,77100
93001870,22700,83600
93002390,22600,4000
93002420,22700,5000
93002580,22700,2000
93002610,22700,2000
93002620,22600,20000
93002860,22700,2000
93003170,22600,9900
93003300,22700,1500
93004490,22600,100
93004500,22600,100
93005070,22700,5000
93005710,22600,6700
93005940,22700,1000
93006030,22600,14000
93006720,22600,6700
93008350,22600,1300
93010080,22600,1200
93010080,22600,7000
93010440,22700,1000
93012560,22700,2000
93013390,22700,2300
93015370,22600,200
93019320,22600,300
93020540,22600,1200
93021300,22600,4500
93022280,22600,1200
93022330,22600,6800
93022330,22600,16800
93022330,22600,16900
93022330,22600,100000
93029090,22600,14200
93030590,22600,1000
93033810,22600,1000
93036310,22600,3900
93036600,22600,7300
93036600,22600,12300
93036600,22600,5000
93036600,22600,5100
93036600,22600,5500
93037050,22600,300
93037640,22600,9900
93039610,22600,5700
93042320,22600,36700
93042320,22600,46700
93042320,22600,46800
93042320,22600,52300
93042320,22600,66800
93042320,22600,76800
93042320,22600,96800
93042320,22600,100000
93045680,22600,6800
93045680,22600,12500
93045700,22600,4300
93045700,22600,4500
93045700,22600,6000
93045700,22600,6100
93045700,22600,12500
93045700,22600,19600
93045700,22600,24600
93045700,22600,34600
93045700,22600,36600
93045700,22600,37600
93045700,22600,43800
93045700,22600,44800
93045700,22600,54800
93045700,22600,54900
93045700,22600,59100
93045700,22600,59500
93045700,22600,61500
93045700,22600,61600
93045740,22600,2900
93045740,22600,3000
93045740,22600,4600
93046860,22600,2200
93047680,22600,1500
93047680,22600,3300
93047680,22600,4100
93047680,22600,8600
93047680,22600,8700
93047680,22600,16000
93048730,22600,6400
93048730,22600,6900
93048990,22600,6400
93048990,22600,6900
93051360,22600,400
93102960,22600,1000
93111950,22500,1100
93128530,22500,10000
93129920,22500,10000
93132130,22600,4600
93132130,22600,9100
93144070,22500,500
93145380,22600,1000
93145530,22600,200
93155630,22500,800
93203380,22600,400
93209440,22500,6400
93217950,22500,11200
93217950,22500,13500
93217960,22500,15500
93231700,22500,7000
93231700,22500,20400
93231700,22500,25300
93231700,22500,25500
93239630,22600,100
93241320,22500,15300
93241320,22500,15600
93241320,22500,18600
93241320,22500,30000
93241320,22500,32000
93241320,22500,35000
93241320,22500,39500
93241320,22500,44500
93241320,22500,46800
93241320,22500,56800
93241320,22500,66800
93241320,22500,76800
93241320,22500,85800
93241320,22500,97200
93241320,22500,102200
93241320,22500,114300
93241320,22500,125900
93241320,22500,126200
93241320,22500,128700
93241320,22500,138700
93241320,22500,140900
93241320,22500,141900
93241320,22500,142600
93241320,22500,146300
93241320,22500,149100
93241320,22500,159400
93241320,22500,159500
93241320,22500,168400
93241320,22500,170600
93241320,22500,173600
93241320,22500,183600
93241320,22500,192900
93241320,22500,193000
93241320,22500,199000
93241320,22500,200000
93243170,22500,28000
93247470,22500,12300
93247470,22500,14300
93247470,22500,15900
93247470,22500,17800
93247470,22500,29500
93247470,22500,34500
93247470,22500,37800
93247470,22500,47800
93247470,22500,53200
93247470,22500,56200
93247470,22500,65000
93247470,22500,66900
93250990,22500,2000
93252060,22600,3400
93308240,22500,3100
93309330,22500,1600
93314150,22500,1400
93314150,22500,3000
93322020,22500,2200
93322040,22500,300
93329790,22500,1200
93331330,22500,3300
93331710,22500,500
93331710,22500,1200
93332880,22500,1600
93332880,22500,2000
93333660,22500,5600
93333660,22500,7000
93334600,22600,2000
93336290,22500,5500
93338530,22600,3300
93339650,22500,3300
93342380,22500,1100
93353460,22600,3300
93355290,22600,900
93402510,22500,2000
93410540,22500,2700
93410540,22500,12700
93410540,22500,15700
93410540,22500,16200
93410540,22500,17200
93410540,22500,18200
93410540,22500,28200
93410540,22500,100000
93414000,22600,500
93415890,22500,4200
93415890,22500,6200
93415890,22500,6300
93415890,22500,11300
93415890,22500,13300
93415950,22500,8300
93415950,22500,13300
93419900,22500,1200
93420280,22500,100
93420310,22500,800
93421520,22500,12900
93421520,22500,13800
93421520,22500,49500
93421520,22500,49600
93421520,22500,58100
93421520,22500,59400
93421520,22500,60000
93421930,22600,3000
93426730,22500,2800
93426730,22500,3300
93426730,22500,7000
93426730,22500,9700
93426730,22500,11700
93426730,22500,15200
93426730,22500,16000
93426730,22500,26000
93426730,22500,29200
93426730,22500,30000
93427670,22500,2000
93427670,22500,2900
93427670,22500,13000
93427670,22500,13100
93427670,22500,15000
93429490,22500,4100
93432300,22500,1200
93435240,22500,10000
93436160,22500,1000
93441230,22500,100
93443880,22500,1000
93444140,22500,4800
93452550,22500,500
93454550,22500,1100
93455310,22400,600
93457760,22500,14600
93505070,22500,1100
93516280,22400,2900
93516410,22500,1200
93527610,22500,1200
93527810,22400,100
93530700,22400,26000
93538330,22500,1100
93545460,22400,400
93545460,22400,600
93549610,22500,1000
93553830,22500,10000
93600290,22500,1200
93601360,22500,100
93602910,22500,2400
93603310,22500,6900
93604240,22500,22300
93609560,22400,1200
93609750,22500,8300
93609750,22500,9600
93609750,22500,11700
93609750,22500,20000
93610430,22500,400
93611210,22500,1200
93614100,22500,3000
93614810,22500,12400
93614810,22500,22400
93614810,22500,46200
93615510,22500,2200
93615510,22500,7500
93615510,22500,13500
93615510,22500,15000
93615510,22500,23100
93615650,22500,100
93615670,22500,500
93615680,22500,1300
93615680,22500,3300
93615680,22500,4400
93615710,22500,3900
93615710,22500,7700
93615710,22500,12500
93615720,22500,5600
93615720,22500,6900
93616910,22500,100
93616910,22500,200
93617420,22500,9800
93617810,22500,2500
93618950,22500,200
93620780,22500,2300
93620780,22500,8300
93621840,22500,900
93623900,22500,2200
93627950,22500,100
93627970,22500,300
93630650,22500,100
93630820,22500,700
93631740,22500,100
93631790,22500,100
93631900,22500,100
93631940,22500,500
93632040,22500,700
93632040,22500,1800
93632040,22500,2800
93632040,22500,2900
93632040,22500,3900
93632040,22500,10600
93633100,22600,1100
93633640,22500,100
93633640,22500,800
93633640,22500,900
93633640,22500,300
93633650,22500,100
93634070,22500,2500
93634070,22500,5000
93634250,22500,100
93635160,22500,400
93635160,22500,3400
93643860,22500,500
93644410,22500,1200
93647790,22500,1000
93654180,22400,800
93654180,22400,9700
93654180,22400,10000
93655330,22500,1100
93656000,22500,10000
93706220,22500,1100
93712380,22500,39100
93712380,22500,42300
93712380,22500,47300
93712380,22500,50000
93714100,22500,25200
93714530,22500,26000
93715000,22500,20000
93715380,22500,1300
93715380,22500,3000
93715670,22500,1100
93715670,22500,3100
93717000,22500,3000
93717000,22500,5000
93723700,22500,1000
93723700,22500,2200
93723700,22500,4900
93728620,22600,1100
93730150,22500,3800
93730150,22500,3900
93730150,22500,13900
93730150,22500,16100
93730440,22500,4600
93731580,22500,4700
93731580,22500,6100
93732570,22500,3000
93732580,22500,3100
93733380,22500,1000
93733660,22500,1000
93736280,22500,1100
93739290,22600,1100
93739400,22500,500
93739880,22600,9000
93742820,22500,4600
93742820,22500,5900
93745170,22500,700
93745260,22500,1700
93745600,22500,100
93747100,22500,800
93747340,22500,400
93748660,22500,300
93748760,22500,100
93801630,22600,1000
93807340,22500,100
93807340,22500,600
93807750,22500,600
93807750,22500,800
93809650,22500,2000
93809760,22500,600
93809760,22500,6300
93810740,22500,4300
93810740,22500,5000
93811730,22500,4600
93812450,22500,200
93812970,22500,100
93813620,22500,200
93816560,22600,10000
93817270,22500,900
93817270,22500,1000
93817270,22500,3100
93817270,22500,3600
93817370,22500,11200
93818910,22500,5600
93819900,22500,2800
93820260,22500,1600
93820270,22500,300
93820270,22500,900
93821180,22400,1100
93824470,22600,1100
93826300,22500,200
93832980,22400,1100
93839230,22500,1100
93839230,22400,1500
93839230,22400,2000
93842790,22500,100
93845660,22500,100
93846090,22500,200
93846630,22500,200
93846900,22500,1000
93850520,22500,1600
93851420,22500,2000
93857680,22500,1100
93857840,22500,100
93908230,22500,1100
93910980,22400,500
93919480,22500,1100
93921710,22500,27800
93921710,22500,28100
93921710,22500,35400
93921710,22500,48200
93929290,22500,2000
93930510,22500,1100
93935290,22500,1100
93938710,22500,1600
93938720,22500,12400
93939630,22500,26100
93941770,22500,1100
93942000,22500,5000
93945110,22400,4000
93945110,22400,28900
93945330,22500,1100
93949670,22500,700
93949670,22500,1200
93949670,22500,2600
93952730,22500,1000
93955270,22500,500
93956130,22500,500
93957470,22500,2600
93959890,22500,5000
94001760,22500,3000
94001760,22500,3500
94001760,22500,5000
94002000,22500,3200
94002000,22500,8000
94002000,22500,10000
94003710,22500,2000
94005640,22500,2000
94005640,22500,3100
94005640,22400,13400
94014390,22500,1000
94018440,22400,4800
94018440,22400,5700
94019560,22400,1200
94020790,22400,100
94024350,22400,1200
94025460,22500,1100
94026170,22500,7400
94026170,22500,10000
94030550,22400,1100
94033060,22500,2200
94036550,22500,1100
94038360,22400,4100
94038360,22400,6300
94047520,22500,1200
94051620,22500,100
94052870,22500,23000
94055270,22500,1700
94055270,22500,25800
94055270,22500,29400
94058220,22500,1000
94100610,22500,200
94100630,22500,2300
94100910,22400,49800
94100910,22400,89800
94100910,22400,92300
94100910,22400,93400
94100910,22400,94700
94102540,22500,5000
94103670,22500,800
94103680,22500,2100
94103680,22500,2900
94103710,22500,200
94107720,22500,300
94109170,22600,1100
94111770,22500,1500
94111770,22500,2500
94111770,22500,7500
94111770,22500,9600
94112780,22500,100
94112800,22500,1300
94114060,22500,5700
94114060,22500,5800
94114060,22500,6000
94114060,22500,8100
94114060,22500,17100
94114060,22500,17200
94114060,22500,18800
94114060,22500,19000
94116220,22400,39400
94120170,22500,1200
94120220,22400,1900
94127000,22500,1000
94131190,22500,1100
94134970,22400,2200
94136800,22500,10000
94141140,22400,2000
94142420,22500,1200
94142680,22400,16000
94148220,22500,2000
94153570,22500,1000
94158040,22400,4100
94158040,22400,8900
94158040,22400,9000
94158040,22400,10000
94202220,22500,4500
94203710,22500,400
94204570,22500,1000
94205940,22500,5000
94209780,22500,1000
94212570,22500,1600
94212570,22500,5100
94213550,22500,200
94215120,22500,1200
94220950,22500,4300
94226130,22500,1000
94226830,22500,10000
94235570,22400,4000
94235570,22400,4400
94235570,22400,6600
94235570,22400,6900
94235570,22400,10900
94235570,22400,20000
94236930,22500,5000
94237270,22500,1100
94248110,22500,1100
94250610,22400,900
94250610,22400,1000
94250990,22400,1900
94251820,22500,900
94259160,22500,1000
94300800,22400,800
94305540,22400,1500
94307630,22400,900
94310320,22500,1100
94312260,22500,3000
94316100,22400,400
94321270,22500,1000
94331180,22500,5000
94332290,22500,1000
94341390,22500,6000
94341500,22500,10600
94343210,22500,1200
94347760,22500,27000
94348610,22500,100
94354410,22500,1200
94359920,22500,3900
94405530,22500,1100
94414600,22500,2400
94416060,22500,1200
94419320,22500,4800
94421160,22500,200
94425410,22400,2800
94427480,22500,1000
94429070,22400,900
94432670,22500,30000
94434600,22500,2000
94438230,22500,1200
94441550,22500,900
94443840,22500,2700
94448070,22500,4900
94448070,22500,5200
94448070,22500,5400
94448070,22500,10400
94448070,22500,20400
94448070,22500,26300
94448070,22500,43500
94448070,22500,46500
94448070,22500,51500
94448070,22500,52000
94448070,22500,52200
94448070,22500,52400
94448070,22500,54800
94448070,22500,79800
94448070,22500,80500
94448070,22500,82900
94448640,22500,100
94448650,22500,100
94448660,22500,100
94448680,22500,200
94449340,22500,900
94449340,22500,1000
94454630,22400,1100
94456620,22500,100
94458800,22500,100
94458800,22500,1000
94500230,22500,1000
94500500,22500,100
94502330,22500,600
94502330,22500,5000
94504250,22500,100
94504250,22500,10000
94507370,22400,1100
94512350,22500,1000
94521280,22400,1000
94523400,22500,1100
94525830,22500,2400
94534410,22500,1100
94543590,22400,4000
94543590,22400,10000
94543590,22400,11000
94543590,22400,13000
94543590,22400,17100
94545280,22500,1000
94556370,22500,1000
94556850,22400,3700
94556850,22400,6000
94607530,22500,1000
94615740,22400,3600
94618170,22500,1200
94629090,22500,1100
94640150,22500,1000
94645300,22500,100000
94645880,22500,1500
94645960,22500,6900
94645980,22500,3500
94646310,22500,1900
94646610,22500,5400
94648390,22500,2000
94651440,22500,1000
94700090,22400,3600
94702250,22500,1100
94703430,22500,100
94713030,22500,200
94713250,22500,1200
94714810,22500,3000
94715980,22400,100
94720960,22500,100
94722530,22400,400
94722530,22400,1100
94724700,22500,1000
94724870,22500,10000
94735070,22500,1200
94745240,22400,900
94746400,22500,1000
94751260,22500,4800
94751290,22500,8000
94751560,22500,4900
94751560,22500,5200
94753940,22500,3900
94754180,22500,3600
94754700,22500,3900
94756620,22500,1700
94756920,22500,1800
94756940,22500,4600
94757240,22500,200
94757240,22500,1200
94802570,22500,1900
94802570,22500,8000
94806910,22400,3400
94806910,22400,23400
94806910,22400,24000
94806920,22500,3000
94807180,22500,4700
94807320,22500,1700
94808600,22500,1100
94810530,22500,30100
94810530,22500,39200
94810530,22500,45600
94812170,22500,6900
94817770,22500,7500
94817790,22500,6000
94817850,22500,1200
94818680,22500,12000
94818680,22500,12800
94819110,22500,1000
94821600,22500,8000
94830430,22500,200
94830430,22500,1200
94835890,22500,8000
94841550,22500,1000
94842040,22500,900
94847190,22500,200
94849200,22500,1200
94850580,22500,500
94850690,22500,8000
94852240,22500,4300
94852240,22500,8900
94852610,22500,1100
94854080,22500,1000
94855110,22500,1000
94857540,22400,1450
94903620,22500,1200
94909840,22500,1000
94913120,22500,100
94913120,22500,1100
94914070,22500,1000
94915390,22500,5000
94925020,22500,1100
94934220,22500,3000
94934580,22500,5600
94936210,22400,50
94936210,22400,5050
94936210,22400,10000
94936520,22500,1000
94947110,22500,1100
94949590,22500,600
94955180,22500,10000
94958130,22500,1000
94958180,22400,2000
95001320,22500,2000
95002830,22500,22200
95003640,22500,300
95003680,22500,4300
95005460,22500,10000
95005540,22500,2000
95008150,22500,12600
95009540,22500,1100
95010510,22500,1500
95019510,22500,21100
95019510,22500,57100
95020300,22500,1200
95021610,22500,300
95022090,22400,3050
95022090,22400,11100
95024010,22500,2000
95024980,22500,1500
95024980,22500,11400
95024980,22500,11500
95024980,22500,12300
95024980,22500,12800
95024980,22500,18900
95024980,22500,21100
95024980,22500,22500
95024980,22500,26200
95024980,22500,26300
95024980,22500,26500
95024980,22500,27000
95024980,22500,31000
95031630,22500,1100
95034310,22500,17700
95039130,22500,7200
95039130,22500,7800
95039130,22500,8300
95039130,22500,9600
95039130,22500,12400
95042360,22500,1100
95048220,22500,1100
95048220,22500,1600
95050400,22500,700
95053400,22500,1000
95102180,22500,2600
95102180,22500,6000
95104360,22500,1200
95114980,22500,200
95114980,22500,5600
95114980,22500,5700
95114980,22500,9700
95114980,22500,9900
95114980,22500,29100
95114980,22500,30100
95114980,22500,46000
95114980,22500,47200
95118660,22500,800
95121670,22500,300
95121670,22500,500
95127160,22600,1000
95127680,22500,5000
95127680,22500,8000
95127680,22500,13100
95130710,22500,2700
95131920,22500,100
95131950,22500,600
95133670,22500,8800
95133670,22500,9000
95134790,22500,8600
95134790,22500,8700
95134790,22500,8900
95135420,22500,300
95138170,22500,1000
95141700,22400,2100
95145960,22400,1850
95145960,22400,11850
95145960,22400,20100
95149170,22500,1200
95149950,22400,21000
95151920,22500,2000
95200420,22500,1000
95205040,22500,10000
95208200,22500,10300
95211570,22500,1000
95211570,22500,1100
95222230,22500,1000
95223640,22500,100
95231340,22400,4100
95231910,22500,200
95233320,22500,1000
95234560,22500,1000
