,time,order,order_price,order_volume
484,91558020,145167,20300,100
830,92416790,288623,20300,800
810,92401040,280149,21700,400
117,91500540,26315,22400,500
194,91500870,39999,22400,57800
387,91503610,107222,22500,21500
825,92408020,283635,22500,50000
839,92427650,295439,22500,50000
844,92435790,300975,22500,30000
78,91500400,18955,22600,600
537,91749790,168787,22600,2000
538,91752130,169365,22600,500
596,91917960,191618,22600,23400
606,91936130,196585,22600,20000
744,92229250,245766,22600,7000
748,92233120,246986,22600,100
856,92451660,311775,22600,300
104,91500500,23771,22700,3200
178,91500790,37372,22700,1000
205,91501080,46084,22700,17400
351,91502930,95168,22700,5000
496,91614810,147955,22700,30000
499,91621940,149434,22700,2900
506,91657540,156537,22700,10000
535,91741410,166689,22700,1400
559,91825330,177574,22700,50000
566,91840820,181591,22700,24200
645,92026060,210425,22700,5000
668,92101610,219784,22700,20000
745,92229450,245839,22700,100000
747,92230810,246305,22700,10000
751,92239790,249216,22700,1000
793,92331420,267782,22700,14000
807,92358000,278825,22700,15000
829,92416370,288313,22700,6700
64,91500380,17818,22800,4100
113,91500530,25718,22800,20000
139,91500580,28204,22800,300
147,91500630,31073,22800,24600
228,91501410,57495,22800,1000
304,91502220,79298,22800,1500
316,91502310,81871,22800,2800
319,91502360,83530,22800,4700
364,91503060,97746,22800,5000
406,91503940,111860,22800,20000
456,91506210,129663,22800,2000
459,91506230,129845,22800,100
567,91841800,181833,22800,40000
574,91853820,184982,22800,30000
579,91901290,186986,22800,9900
604,91929610,194820,22800,71600
608,91937960,197123,22800,71700
640,92017060,208051,22800,44400
648,92028050,210919,22800,5000
655,92038630,213782,22800,5000
665,92057780,218773,22800,20000
685,92115100,223607,22800,3500
699,92135520,229330,22800,4000
707,92148910,233258,22800,10000
713,92151510,234016,22800,3800
719,92200770,236731,22800,3000
740,92218930,242461,22800,20000
754,92241640,249822,22800,10000
755,92242700,250187,22800,100000
780,92316960,262196,22800,50000
3,91500030,323,22900,1300
9,91500050,1903,22900,1000
21,91500080,3734,22900,20000
61,91500370,17176,22900,1200
79,91500410,19288,22900,10000
96,91500490,23240,22900,1000
148,91500630,31074,22900,27100
179,91500790,37373,22900,1000
220,91501310,54172,22900,2000
352,91502930,95170,22900,5000
435,91504720,120373,22900,10000
442,91505080,123424,22900,200
454,91506200,129648,22900,2000
592,91909220,189179,22900,30000
600,91922660,192912,22900,30000
616,91947690,199818,22900,5000
617,91948320,199988,22900,4500
688,92125760,226538,22900,1000
697,92132930,228615,22900,30000
702,92139760,230558,22900,100
756,92251670,253178,22900,10000
761,92255550,254503,22900,100000
785,92321160,263838,22900,3000
790,92329900,267207,22900,20000
809,92358200,278905,22900,4800
833,92420310,290813,22900,5000
32,91500170,6654,23000,1000
50,91500300,13658,23000,300
54,91500320,15131,23000,10000
80,91500410,19289,23000,10000
140,91500590,28419,23000,4000
145,91500630,31005,23000,5400
149,91500630,31089,23000,31000
157,91500640,31675,23000,1000
206,91501080,46085,23000,20000
209,91501090,46410,23000,8400
266,91501810,69485,23000,6000
275,91501880,71437,23000,3000
299,91502140,77351,23000,4500
318,91502330,82649,23000,4100
348,91502740,91715,23000,3300
368,91503110,98775,23000,200
370,91503110,98787,23000,200
380,91503450,105087,23000,2100
417,91504300,115896,23000,2600
428,91504630,119518,23000,26400
434,91504720,120372,23000,10000
438,91504850,121545,23000,3000
455,91506200,129649,23000,2000
475,91537670,141323,23000,2000
498,91619450,149013,23000,7000
502,91635130,151984,23000,20200
521,91717980,161067,23000,25000
528,91728730,163508,23000,60000
530,91732910,164571,23000,1000
571,91848360,183515,23000,3000
622,91958590,203162,23000,16000
647,92026780,210601,23000,1600
654,92038050,213627,23000,24900
681,92111710,222620,23000,10000
691,92127560,227044,23000,10000
738,92215010,241193,23000,72600
757,92251710,253200,23000,10000
758,92254600,254167,23000,20000
769,92301920,256738,23000,10000
792,92331040,267633,23000,22200
797,92336690,269936,23000,10000
798,92337930,270459,23000,30000
843,92433740,299550,23000,6000
38,91500190,7865,23100,1100
77,91500400,18713,23100,4000
81,91500410,19290,23100,10000
144,91500600,29184,23100,2000
150,91500630,31091,23100,21900
180,91500790,37375,23100,1000
197,91500900,40819,23100,41000
223,91501330,54770,23100,1400
285,91502020,74590,23100,700
303,91502170,78317,23100,3500
353,91502930,95171,23100,5000
410,91504070,113386,23100,6300
447,91505300,125641,23100,20900
457,91506210,129667,23100,2000
522,91718670,161249,23100,5000
637,92005930,205142,23100,5000
657,92049720,216652,23100,16600
791,92330910,267582,23100,5000
795,92335920,269617,23100,1500
802,92347230,274224,23100,10000
861,92455820,315016,23100,6600
43,91500240,10719,23200,200000
82,91500410,19291,23200,20000
91,91500460,21889,23200,10100
109,91500500,23894,23200,15800
121,91500580,27806,23200,25000
151,91500630,31093,23200,23900
165,91500670,33215,23200,5500
215,91501290,52997,23200,1000
268,91501830,69903,23200,900
311,91502250,79982,23200,2400
335,91502500,86952,23200,2300
339,91502560,87980,23200,1000
379,91503400,104045,23200,11800
409,91504020,112740,23200,14900
414,91504180,114460,23200,500
446,91505280,125417,23200,3800
449,91505570,127374,23200,3800
453,91506140,129195,23200,500
458,91506210,129669,23200,2000
464,91508120,134606,23200,24000
500,91622560,149543,23200,10000
505,91657070,156434,23200,2000
524,91721900,161966,23200,400
590,91907440,188664,23200,2700
597,91919110,191933,23200,10000
635,92003950,204644,23200,1500
638,92014830,207459,23200,5000
642,92017790,208251,23200,10000
663,92056110,218357,23200,11100
690,92126800,226835,23200,5000
784,92320200,263465,23200,20000
787,92326690,265927,23200,600
806,92357860,278754,23200,10000
858,92455070,314437,23200,28000
4,91500030,324,23300,1300
62,91500370,17200,23300,1500
83,91500410,19292,23300,30000
85,91500410,19324,23300,4000
87,91500440,20789,23300,10000
138,91500580,28042,23300,10000
181,91500790,37376,23300,1000
297,91502140,77324,23300,30000
333,91502480,86566,23300,24600
354,91502930,95174,23300,5000
390,91503710,108783,23300,30000
526,91727760,163290,23300,5000
614,91945920,199320,23300,23100
661,92052510,217406,23300,8800
666,92100790,219563,23300,11100
696,92132250,228421,23300,4000
746,92230670,246252,23300,5000
799,92340660,271568,23300,1000
826,92408740,283997,23300,1000
6,91500030,753,23400,500
10,91500050,2093,23400,500
84,91500410,19293,23400,30000
97,91500490,23241,23400,1000
160,91500640,31849,23400,4000
172,91500720,35381,23400,1600
261,91501740,67823,23400,2900
278,91501980,73755,23400,11000
324,91502390,84526,23400,44300
330,91502470,86315,23400,80000
389,91503710,108781,23400,50000
431,91504650,119808,23400,500
554,91812290,174348,23400,37600
558,91823490,177130,23400,37600
564,91837180,180603,23400,37600
573,91852350,184600,23400,37600
619,91956420,202480,23400,10000
644,92023860,209893,23400,5000
677,92104130,220440,23400,11100
729,92202400,237212,23400,8000
801,92345220,273431,23400,6300
817,92401870,280522,23400,2000
19,91500070,3235,23500,500
55,91500320,15132,23500,10000
56,91500330,15274,23500,10000
63,91500370,17201,23500,1500
76,91500400,18712,23500,4000
90,91500450,21733,23500,1000
114,91500530,25719,23500,40000
163,91500650,32507,23500,500
168,91500680,33683,23500,1000
182,91500790,37377,23500,1000
248,91501630,64752,23500,2900
280,91502010,74355,23500,2000
295,91502120,76752,23500,1000
366,91503060,97763,23500,1000
372,91503150,99432,23500,300
377,91503340,103047,23500,400
386,91503560,106530,23500,1100
395,91503780,109464,23500,3900
407,91503970,112217,23500,20800
439,91504860,121573,23500,3000
494,91607900,146700,23500,20000
621,91957790,202940,23500,3000
653,92034500,212679,23500,5000
678,92105400,220808,23500,85900
698,92133730,228837,23500,10000
722,92201270,236886,23500,500
773,92306600,258366,23500,1000
837,92421570,291676,23500,10000
857,92452590,312487,23500,900
86,91500420,19600,23600,400
123,91500580,27982,23600,5000
200,91500990,43215,23600,17500
207,91501090,46243,23600,400
246,91501620,64640,23600,4300
252,91501660,65574,23600,13000
259,91501720,67500,23600,800
355,91502930,95175,23600,5000
392,91503710,108788,23600,21700
516,91705880,158393,23600,2000
750,92235600,247849,23600,1000
752,92240350,249385,23600,5000
834,92420970,291282,23600,2000
838,92426980,295069,23600,500
5,91500030,325,23700,1300
12,91500060,2777,23700,5500
24,91500090,3845,23700,1300
183,91500790,37378,23700,1000
226,91501380,56664,23700,10000
262,91501740,67824,23700,2800
320,91502360,83542,23700,600
323,91502390,84487,23700,21600
349,91502770,92113,23700,6000
382,91503460,105238,23700,1000
422,91504430,117748,23700,1200
547,91801350,171612,23700,10000
137,91500580,28041,23800,10000
242,91501560,62632,23800,10000
245,91501600,64086,23800,3000
273,91501840,70647,23800,3000
290,91502090,76065,23800,10000
298,91502140,77332,23800,500
300,91502140,77361,23800,500
357,91502950,95516,23800,200
391,91503710,108786,23800,30000
415,91504210,114812,23800,30000
444,91505160,124312,23800,500
452,91506140,129149,23800,500
473,91522030,139496,23800,2000
556,91814590,174947,23800,10000
701,92138800,230295,23800,10000
733,92209680,239510,23800,200
828,92412300,286000,23800,900
853,92449080,310073,23800,4000
13,91500070,3147,23900,17000
26,91500090,3968,23900,10000
39,91500190,7902,23900,5000
42,91500230,10541,23900,100000
57,91500330,15276,23900,10000
98,91500490,23242,23900,1000
184,91500790,37379,23900,1000
276,91501880,71558,23900,3800
291,91502090,76066,23900,10000
477,91541240,141856,23900,5000
650,92033340,212351,23900,3000
782,92317520,262428,23900,1000
18,91500070,3234,24000,500
102,91500500,23707,24000,2200
169,91500680,33691,24000,1000
202,91501010,43688,24000,7300
234,91501500,60793,24000,500
238,91501530,61660,24000,500
292,91502090,76067,24000,10000
341,91502630,89380,24000,2700
440,91504920,122059,24000,3000
461,91507190,132700,24000,2200
553,91810520,173909,24000,100
563,91835090,180053,24000,10000
686,92122830,225763,24000,6400
709,92150430,233713,24000,600
760,92255430,254458,24000,3000
851,92446120,308028,24000,5000
185,91500790,37380,24100,1000
289,91502060,75274,24100,328900
322,91502380,84171,24100,1000
356,91502930,95177,24100,5000
463,91508030,134364,24100,2100
570,91846980,183188,24100,10000
658,92050370,216842,24100,6300
705,92146700,232598,24100,10000
233,91501500,60755,24200,1000
437,91504790,120829,24200,10000
595,91917350,191441,24200,54000
136,91500580,28040,24300,10000
186,91500790,37381,24300,1000
222,91501310,54281,24300,500
281,91502010,74367,24300,2000
358,91502960,95660,24300,5300
373,91503150,99635,24300,10000
465,91508910,135924,24300,14900
29,91500130,5258,24400,7700
99,91500490,23243,24400,1000
361,91503010,96746,24400,5000
762,92259210,255775,24400,2000
33,91500170,6657,24500,3100
40,91500190,7973,24500,700
59,91500350,16558,24500,10000
164,91500650,32508,24500,500
174,91500740,36170,24500,1000
187,91500790,37382,24500,1000
235,91501510,60880,24500,2200
271,91501840,70550,24500,20000
343,91502660,90096,24500,2400
365,91503060,97762,24500,2000
397,91503810,109816,24500,5000
441,91504930,122217,24500,3000
714,92153510,234614,24500,10000
777,92313420,260860,24500,1000
783,92320080,263413,24500,2000
789,92329870,267196,24500,1500
846,92440360,304132,24500,10000
110,91500500,24146,24600,20000
213,91501170,49405,24600,800
217,91501290,53145,24600,27800
232,91501480,60206,24600,6000
237,91501520,61309,24600,1000
269,91501840,70545,24600,20000
294,91502120,76750,24600,1000
337,91502510,87098,24600,1500
425,91504560,118930,24600,700
552,91807290,173075,24600,10000
716,92158420,236019,24600,10000
721,92201150,236842,24600,600
850,92445780,307813,24600,20000
17,91500070,3233,24700,500
41,91500210,9109,24700,2500
70,91500400,18656,24700,10000
103,91500500,23724,24700,5800
171,91500720,35172,24700,30000
204,91501080,45909,24700,1300
211,91501150,48801,24700,6000
216,91501290,53130,24700,5600
225,91501370,56192,24700,139300
257,91501710,66957,24700,20000
270,91501840,70549,24700,20000
342,91502630,89403,24700,17000
363,91503060,97616,24700,39600
419,91504370,117138,24700,3000
460,91506230,129859,24700,91500
523,91719700,161489,24700,2000
555,91813610,174722,24700,15000
594,91915050,190813,24700,7000
715,92154080,234776,24700,4000
730,92203260,237493,24700,10000
800,92345040,273371,24700,200
832,92419470,290299,24700,15000
849,92444580,307001,24700,1000
854,92449920,310630,24700,1000
855,92451300,311523,24700,20000
0,91500020,195,24800,5000
7,91500040,1376,24800,10400
23,91500090,3844,24800,15000
30,91500130,5259,24800,10000
48,91500270,12622,24800,1100
51,91500320,14639,24800,44600
88,91500440,20923,24800,15100
89,91500450,21519,24800,8000
92,91500460,22175,24800,1000
100,91500490,23244,24800,2000
118,91500540,26366,24800,3700
122,91500580,27827,24800,1000
135,91500580,28039,24800,10000
155,91500630,31339,24800,300
161,91500640,31850,24800,3500
162,91500650,32365,24800,5100
173,91500740,35965,24800,3300
175,91500780,37106,24800,600
188,91500790,37383,24800,1000
208,91501090,46393,24800,2000
219,91501290,53349,24800,5700
224,91501360,55751,24800,500
239,91501540,61880,24800,600
241,91501560,62629,24800,20000
253,91501660,65654,24800,1000
258,91501710,67192,24800,10000
265,91501800,69276,24800,1000
272,91501840,70554,24800,50000
274,91501870,71178,24800,16000
286,91502030,74693,24800,1500
302,91502150,77612,24800,5000
315,91502280,80848,24800,100
359,91502980,96017,24800,5000
362,91503030,97096,24800,10000
378,91503370,103560,24800,1700
383,91503470,105543,24800,1000
388,91503630,107451,24800,20000
398,91503830,110134,24800,200
401,91503920,111451,24800,1500
416,91504300,115893,24800,10000
421,91504390,117377,24800,30000
430,91504650,119738,24800,20000
443,91505160,124297,24800,1000
448,91505310,125744,24800,16000
451,91506090,128737,24800,1000
462,91508030,134363,24800,2100
470,91513010,138360,24800,3100
474,91524330,139727,24800,6400
495,91608000,146725,24800,12500
508,91701170,157338,24800,2200
527,91728150,163374,24800,400
529,91732450,164456,24800,1000
