time,trade_price,trade_volume,ask,bid
92500000,22600,100,145167,7576
92500000,22600,500,288623,203930
92500000,22600,300,288623,136981
92500000,22600,400,280149,136981
92500000,22600,500,26315,136981
92500000,22600,2700,39999,136981
92500000,22600,300,39999,202928
92500000,22600,3600,39999,297322
92500000,22600,6000,39999,241604
92500000,22600,10000,39999,245113
92500000,22600,3200,39999,285653
92500000,22600,32000,39999,302526
92500000,22600,18000,107222,302526
92500000,22600,3500,107222,306119
92500000,22600,16500,283635,306119
92500000,22600,20000,283635,306902
92500000,22600,13400,283635,27782
92500000,22600,100,283635,45167
92500000,22600,1900,295439,45167
92500000,22600,100,295439,157280
92500000,22600,100,295439,157461
92500000,22600,100,295439,157464
92500000,22600,100,295439,157465
92500000,22600,100,295439,157473
92500000,22600,100,295439,157488
92500000,22600,100,295439,157489
92500000,22600,100,295439,158502
92500000,22600,100,295439,158504
92500000,22600,29000,295439,160757
92500000,22600,100,295439,171357
92500000,22600,100,295439,171358
92500000,22600,100,295439,171359
92500000,22600,100,295439,171360
92500000,22600,100,295439,171362
92500000,22600,100,295439,171363
92500000,22600,100,295439,171370
92500000,22600,100,295439,171374
92500000,22600,100,295439,172254
92500000,22600,8000,295439,182894
92500000,22600,9300,295439,183711
92500000,22600,5700,300975,183711
92500000,22600,500,300975,185578
92500000,22600,800,300975,186473
92500000,22600,100,300975,187099
92500000,22600,100,300975,187100
92500000,22600,100,300975,187101
92500000,22600,100,300975,187102
92500000,22600,100,300975,187115
92500000,22600,100,300975,187116
92500000,22600,100,300975,187573
92500000,22600,100,300975,187574
92500000,22600,100,300975,188501
92500000,22600,2000,300975,189289
92500000,22600,6100,300975,192131
92500000,22600,100,300975,197722
92500000,22600,1000,300975,198932
92500000,22600,100,300975,203732
92500000,22600,100,300975,203733
92500000,22600,100,300975,203734
92500000,22600,100,300975,203735
92500000,22600,100,300975,203737
92500000,22600,100,300975,203738
92500000,22600,100,300975,203748
92500000,22600,100,300975,203750
92500000,22600,100,300975,203886
92500000,22600,100,300975,204568
92500000,22600,10000,300975,207612
92500000,22600,1900,300975,209555
92500000,22600,600,18955,209555
92500000,22600,2000,168787,209555
92500000,22600,500,169365,210575
92500000,22600,500,191618,210575
92500000,22600,10000,191618,212554
92500000,22600,4400,191618,218749
92500000,22600,100,191618,220275
92500000,22600,100,191618,220276
92500000,22600,100,191618,220280
92500000,22600,100,191618,220281
92500000,22600,100,191618,220282
92500000,22600,100,191618,220283
92500000,22600,100,191618,220290
92500000,22600,100,191618,220292
92500000,22600,100,191618,221134
92500000,22600,100,191618,221248
92500000,22600,100,191618,226761
92500000,22600,7400,191618,227056
92500000,22600,20000,196585,227056
92500000,22600,7000,245766,227056
92500000,22600,100,246986,227056
92500000,22600,300,311775,227056
93000170,22700,3200,23771,382695
93000170,22700,1000,37372,382695
93000170,22700,14800,46084,382695
93000170,22700,2600,46084,382872
93000170,22700,5000,95168,382872
93000170,22700,2400,147955,382872
93000200,22700,1000,147955,385526
93000200,22700,5000,147955,385890
93000260,22700,15000,147955,392447
93000270,22700,5000,147955,393615
93000670,22700,1600,147955,423034
93000670,22700,2900,149434,423034
93000670,22700,500,156537,423034
93000870,22700,200,156537,433933
93001040,22600,800,443199,227056
93001060,22700,9300,156537,444400
93001060,22700,1400,166689,444400
93001060,22700,11400,177574,444400
93001370,22600,1000,458726,227056
93001560,22700,10000,177574,469256
93001580,22700,700,177574,470324
93001670,22600,10000,474545,227056
93001870,22700,27900,177574,483731
93001870,22700,24200,181591,483731
93001870,22700,5000,210425,483731
93001870,22700,20000,219784,483731
93001870,22700,6500,245839,483731
93002390,22600,4000,506075,227056
93002420,22700,5000,245839,507831
93002580,22700,2000,245839,514758
93002610,22700,2000,245839,516011
93002620,22600,20000,516360,227056
93002860,22700,2000,245839,526578
93003170,22600,9900,538201,227056
93003300,22700,1500,245839,542422
93004490,22600,100,582198,227056
93004500,22600,100,582470,227056
93005070,22700,5000,245839,597808
93005710,22600,6700,615539,227056
93005940,22700,1000,245839,620250
93006030,22600,14000,622169,227056
93006720,22600,6700,638168,227056
93008350,22600,1300,670132,227056
93010080,22600,1200,692581,227056
93010080,22600,5800,692581,231595
93010440,22700,1000,245839,697507
93012560,22700,2000,245839,714948
93013390,22700,2300,245839,721650
93015370,22600,200,733973,231595
93019320,22600,300,755585,231595
93020540,22600,1200,760926,231595
93021300,22600,4500,764391,231595
93022280,22600,1200,770469,231595
93022330,22600,6800,770914,231595
